id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided chunks, with all details supported.",5,The answer directly and completely addresses the question by providing both the initial response time and the resolution time for ticket P1.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation.",5,The model answer directly and completely answers the question regarding the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer incorrectly states that IT Security is required for Level 3 access, which is not supported by the provided chunks.",5,The answer directly and completely addresses the question by specifying the required approvals for Level 3 access.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not refundable, but it inaccurately implies that refunds are possible if there is a manufacturing defect without clearly supporting details from the chunks.",4,"The model answer correctly states that digital products are generally non-refundable, but it introduces an exception for manufacturer errors, which is not mentioned in the expected answer.",5,Retrieved: 1/1 expected sources,4,"The model answer does not explicitly mention that digital products are exceptions to the refund policy, which is a key point in the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately reflects the information provided in the chunks, stating that the account is locked after 5 failed login attempts and suggests contacting IT Helpdesk or using the SSO portal for unlocking, which is supported by the retrieved chunks.",5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,None,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay lập tức [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the chunks, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes.",5,"The answer directly and completely explains the escalation process for P1 incidents, including the 10-minute response time and the escalation to a Senior Engineer.",5,Retrieved: 1/1 expected sources,5,,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in the chunks, stating that the document regulates the access approval process for internal systems and applies to all employees, contractors, and third-party vendors.",5,"The answer directly addresses the question by identifying the Approval Matrix as a document that regulates access permissions and mentions its current name, which aligns with the expected answer.",5,Retrieved: 1/1 expected sources,4,The model answer does not mention the new name of the document 'Access Control SOP'.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày/tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the chunks regarding remote work conditions, including the requirement of Team Lead approval and the probation period.",5,"The model answer directly and completely addresses the question about the maximum number of remote days per week for employees after the probation period, including the requirement for Team Lead approval.",5,Retrieved: 1/1 expected sources,5,,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer correctly states that there is not enough information in the provided context, and the chunks do not contain the requested fact.",4,Abstain đúng nhưng còn hơi cụt,4,No expected sources; retrieved chunks exist but no source was required,4,"Đúng ý nhưng còn ngắn, chưa giải thích đủ",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is not enough information in the provided context, and the chunks do not contain the requested fact.",5,The answer directly addresses the question by stating that there is no special procedure for VIP customers and that all refund requests follow the standard process.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the specific inquiry about the refund policy for VIP customers and fails to provide any relevant information regarding the standard refund process.,baseline_dense
